,metricName,time,count,total,minimum,maximum,average,queue,metric
136,d2c.endpoints.latency.builtIn.events,2021-12-20T00:07:00.0000000Z,358,41228,22.0,361.0,115.162011173184,Tx.tec.performance.protocols.NETWORK,Latency time between sending and arriving at an endpoint
137,d2c.endpoints.latency.builtIn.events,2021-12-20T00:08:00.0000000Z,396,48284,15.0,340.0,121.929292929293,Tx.tec.performance.protocols.NETWORK,Latency time between sending and arriving at an endpoint
138,RoutingDeliveries,2021-12-20T00:06:00.0000000Z,418,3554,1.0,30.0,8.50239234449761,Not.classified,Not.verified
139,RoutingDeliveries,2021-12-20T00:07:00.0000000Z,379,2918,1.0,30.0,7.69920844327177,Not.classified,Not.verified
140,RoutingDeliveries,2021-12-20T00:08:00.0000000Z,426,3363,1.0,30.0,7.8943661971831,Not.classified,Not.verified
141,RoutingDeliveryLatency,2021-12-20T00:06:00.0000000Z,418,50572,18.0,325.0,120.985645933014,Tx.tec.performance.protocols.HOST,Latency time for Sending a Message
142,RoutingDeliveryLatency,2021-12-20T00:07:00.0000000Z,379,44163,22.0,361.0,116.525065963061,Tx.tec.performance.protocols.HOST,Latency time for Sending a Message
143,RoutingDeliveryLatency,2021-12-20T00:08:00.0000000Z,426,52479,15.0,340.0,123.19014084507,Tx.tec.performance.protocols.HOST,Latency time for Sending a Message
144,RoutingDataSizeInBytesDelivered,2021-12-20T00:06:00.0000000Z,418,7403366,,,17711.4019138756,Not.classified,Not.verified
145,RoutingDataSizeInBytesDelivered,2021-12-20T00:07:00.0000000Z,379,6444447,,,17003.8179419525,Not.classified,Not.verified
146,RoutingDataSizeInBytesDelivered,2021-12-20T00:08:00.0000000Z,426,7141641,,,16764.4154929577,Not.classified,Not.verified
147,d2c.twin.read.success,2021-12-20T00:07:00.0000000Z,1,1,1.0,1.0,1.0,,
148,d2c.twin.read.size,2021-12-20T00:07:00.0000000Z,1,2613,2613.0,2613.0,2613.0,,
149,d2c.twin.update.success,2021-12-20T00:07:00.0000000Z,1,1,1.0,1.0,1.0,,
150,d2c.twin.update.size,2021-12-20T00:07:00.0000000Z,1,212,212.0,212.0,212.0,,
151,dailyMessageQuotaUsed,2021-12-20T00:06:00.0000000Z,39,334979,6666.0,10430.0,8589.20512820513,Tx.tec.performance.protocols.NETWORK,Number of messages sent
152,dailyMessageQuotaUsed,2021-12-20T00:07:00.0000000Z,39,410686,9261.0,12983.0,10530.4102564103,Tx.tec.performance.protocols.NETWORK,Number of messages sent
153,dailyMessageQuotaUsed,2021-12-20T00:08:00.0000000Z,39,488053,11238.0,14719.0,12514.1794871795,Tx.tec.performance.protocols.NETWORK,Number of messages sent
154,deviceDataUsage,2021-12-20T00:06:00.0000000Z,559,6321339,2.0,49340.0,11308.2987477639,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
155,deviceDataUsage,2021-12-20T00:07:00.0000000Z,505,5692201,2.0,32705.0,11271.6851485149,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
156,deviceDataUsage,2021-12-20T00:08:00.0000000Z,571,6164972,2.0,32697.0,10796.7985989492,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
157,deviceDataUsageV2,2021-12-20T00:06:00.0000000Z,560,6347900,2.0,49340.0,11335.5357142857,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
158,deviceDataUsageV2,2021-12-20T00:07:00.0000000Z,505,5692201,2.0,32705.0,11271.6851485149,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
159,deviceDataUsageV2,2021-12-20T00:08:00.0000000Z,571,6164972,2.0,32697.0,10796.7985989492,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
160,totalDeviceCount,2021-12-20T00:06:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.protocols.HOST,Number of devices registered
161,totalDeviceCount,2021-12-20T00:07:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.protocols.HOST,Number of devices registered
162,totalDeviceCount,2021-12-20T00:08:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.protocols.HOST,Number of devices registered
163,connectedDeviceCount,2021-12-20T00:06:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.protocols.NETWORK,Number of connections alive equal to number of connections registered
164,connectedDeviceCount,2021-12-20T00:07:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.protocols.NETWORK,Number of connections alive equal to number of connections registered
165,connectedDeviceCount,2021-12-20T00:08:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.protocols.NETWORK,Number of connections alive equal to number of connections registered
166,d2c.telemetry.ingress.allProtocol,2021-12-20T00:09:00.0000000Z,527,527,1.0,1.0,1.0,Not.classified,Not.verified
167,d2c.telemetry.ingress.allProtocol,2021-12-20T00:10:00.0000000Z,555,555,1.0,1.0,1.0,Not.classified,Not.verified
168,d2c.telemetry.ingress.allProtocol,2021-12-20T00:11:00.0000000Z,548,548,1.0,1.0,1.0,Not.classified,Not.verified
169,d2c.telemetry.ingress.success,2021-12-20T00:09:00.0000000Z,527,527,1.0,1.0,1.0,Not.classified,Not.verified
170,d2c.telemetry.ingress.success,2021-12-20T00:10:00.0000000Z,555,555,1.0,1.0,1.0,Not.classified,Not.verified
171,d2c.telemetry.ingress.success,2021-12-20T00:11:00.0000000Z,548,548,1.0,1.0,1.0,Not.classified,Not.verified
172,devices.totalDevices,2021-12-20T00:09:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
173,devices.totalDevices,2021-12-20T00:10:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
